Solubility_Class,n_Compounds,Percentage_of_Total,Mean_Absolute_Error_logS,Median_Absolute_Error_logS,Mean_Percent_Error,Median_Percent_Error,R2_Score
Very_Poor,19,8.4070796460177,0.45501566912625274,0.3316782338305213,265.7236733901164,69.63798639376584,0.3104870592537202
Poor,48,21.238938053097346,0.5749048325716456,0.5170653734654223,347.31678799456705,84.24025784293725,-0.5417327793630635
Moderate,85,37.610619469026545,0.4699759113265486,0.4076590249833987,238.36264769415516,78.15051029463676,-0.09899094045791279
Good,74,32.743362831858406,0.5075934984406909,0.39127651631725624,104.52439414151914,71.11664154751132,0.17487012987307848
